State (rank),Year,% meeting 1,% meeting 3,% meeting 6,Early Intervention Enrollment Rate,NoBHS Follow up Rate %,Sources
Alabama,2018,92.5,82,52.4,1,,Excel for 1-3-6 by state for 2022
Alaska,2018,96.1,37.1,29.4,5.9,,https://www.cdc.gov/hearing-loss-children/state-programs/index.html
American Samoa,2018,98.6,20,0,0,,https://www.cdc.gov/hearing-loss-children/data/ehdi-data.html
Arizona,2018,96.8,43.9,36.6,50.3,,
Arkansas,2018,95,10.1,26.3,7.9,,
California,2018,97.8,44.2,67.4,0.4,,
Colorado,2018,null,null,null,null,,
Connecticut,2018,97.9,75.9,47.7,16.3,,
Delaware,2018,90.2,7.2,50,14.3,,
District of Columbia,2018,95.4,6.9,0,100,,
Florida,2018,88.2,72.8,36.3,23.6,,
Georgia,2018,95.3,22.8,33,28.6,,
Guam,2018,95.7,22,40,40,,
Hawaii,2018,97.1,57.1,38.2,22.4,,
Idaho,2018,94.3,70.3,41.7,33.3,,
Illinois,2018,96.7,51.5,51.5,32.2,,
Indiana,2018,96,60.4,41.5,17.1,,
Iowa,2018,96,52.6,41.9,19.8,,
Kansas,2018,96.7,60.4,65.2,4.5,,
Kentucky,2018,96.5,53.5,26,52,,
Louisiana,2018,96.2,53.3,54.7,14.1,,
Maine,2018,96.1,55.3,52.2,34.8,,
Marshall Islands,2018,88.8,35,60,0,,
Maryland,2018,97.3,52.3,57.6,10.6,,
Massachusetts,2018,97.9,74.7,66.8,7.6,,
Michigan,2018,95.8,22.9,38.3,35.7,,
Micronesia,2018,80.3,0,0,0,,
Minnesota,2018,96.2,40.7,37.3,24.8,,
Mississippi,2018,95.9,18.8,28.4,16.4,,
Missouri,2018,96.2,62.7,64.2,8.4,,
Montana,2018,95.1,12.6,58.3,16.7,,
Noebraska,2018,96.6,48.4,54.2,0,,
Noevada,2018,95.7,36.8,66.7,17.5,,
New Hampshire,2018,97.2,50.9,35.3,23.5,,
New Jersey,2018,97.7,35.6,32.1,24.1,,
New Mexico,2018,93.3,33.4,33.3,33.3,,
New York,2018,95.4,20.8,45.1,6.9,,
North Carolina,2018,97.4,27.9,48.7,8,,
North Dakota,2018,97.9,12.5,60.9,13,,
Northern Marianas,2018,99,11.3,50,0,,
Ohio,2018,95.8,59.3,31.3,16.5,,
Oklahoma,2018,99.3,7,39.4,19.7,,
Oregon,2018,96.4,71.5,59.2,7.8,,
Palau,2018,95.3,0,0,0,,
Pennsylvania,2018,95.5,64,39.4,33.7,,
Puerto Rico,2018,2.8,36.3,40.9,4.5,,
Rhode Island,2018,96.2,46.6,53.5,14,,
South Carolina,2018,96.2,34.8,47.5,13.9,,
South Dakota,2018,94.9,18,6.7,53.3,,
Tennessee,2018,97.1,46.4,42.6,13.9,,
Texas,2018,97.2,29.7,36.4,38,,
Utah,2018,97.3,71.7,62.1,4.6,,
Vermont,2018,96.6,78.3,100,0,,
Virgin Islands,2018,null,null,null,null,,
Virginia,2018,95.1,56.9,13.1,31.7,,
Washington,2018,96.3,33.7,56.3,6.9,,
West Virginia,2018,94.7,44.3,57.1,0,,
Wisconsin,2018,91.2,44.7,36.9,13.1,,
Wyoming,2018,97.8,75,70.6,0,,
Alabama,2019,null,null,null,null,,
Alaska,2019,94.8,44.3,37.5,6.3,,
American Samoa,2019,98.2,28.6,0,0,,
Arizona,2019,96.8,37.3,40.3,32.3,,
Arkansas,2019,95.1,10.3,37.1,16.1,,
California,2019,97.8,43.9,61.4,0.2,,
Colorado,2019,null,null,null,null,,
Connecticut,2019,98.1,70.1,43,12.9,,
